Time,Drive Frequency,Average Amps,Discharge Pressure,Intake Pressure,Intake Temperature,Motor Temperature,Drive Frequency anomaly,Average Amps anomaly,Discharge Pressure anomaly,Intake Pressure anomaly,Intake Temperature anomaly,Motor Temperature anomaly,PCA1,PCA2,Anomoly
2021-02-18 21:23:00,52.900001525878906,38.5,652.4099731445312,1370.949951171875,61.900001525878906,84.80000305175781,1,1,1,1,1,1,1.5077567654869193,-1.8796243405497852,1
2021-02-18 21:33:00,52.900001525878906,37.900001525878906,652.4099731445312,1370.949951171875,61.900001525878906,84.80000305175781,1,1,1,1,1,1,1.5087350994513695,-1.8807762547994902,1
2021-02-18 21:43:00,52.900001525878906,37.900001525878906,652.97998046875,1370.81005859375,61.900001525878906,84.80000305175781,1,1,1,1,1,1,1.5088264590816267,-1.879382409812542,1
2021-02-18 21:53:00,52.900001525878906,37.900001525878906,652.5499877929688,1369.9599609375,61.900001525878906,84.9000015258789,1,1,1,1,1,1,1.505350652871088,-1.8780090469165531,1
2021-02-18 22:03:00,52.900001525878906,37.900001525878906,651.97998046875,1370.6700439453125,61.900001525878906,84.80000305175781,1,1,1,1,1,1,1.5096239683611874,-1.8810551497385088,1
2021-02-18 22:13:00,52.900001525878906,38.29999923706055,651.97998046875,1370.6700439453125,61.900001525878906,84.80000305175781,1,1,1,1,1,1,1.5089717477915856,-1.880287209346603,1
2021-02-18 22:23:00,52.900001525878906,38.29999923706055,652.27001953125,1369.9599609375,61.900001525878906,84.80000305175781,1,1,1,1,1,1,1.5106058639242395,-1.8782973596211063,1
2021-02-18 22:33:00,52.900001525878906,38.29999923706055,652.27001953125,1370.3900146484375,61.900001525878906,84.9000015258789,1,1,1,1,1,1,1.5037556439999142,-1.8786499928833296,1
2021-02-18 22:43:00,52.900001525878906,38.29999923706055,651.97998046875,1368.25,61.900001525878906,84.80000305175781,1,1,1,1,1,1,1.5149854072666504,-1.875436469048507,1
2021-02-18 22:53:00,52.900001525878906,37.09999847412109,651.97998046875,1368.25,61.900001525878906,84.80000305175781,1,-1,1,1,1,1,1.516942081415647,-1.8777403048716093,1
2021-02-18 23:03:00,52.900001525878906,37.09999847412109,652.1199951171875,1368.3900146484375,61.900001525878906,84.80000305175781,1,-1,1,1,1,1,1.5165312056756386,-1.8777474478883491,1
2021-02-18 23:13:00,52.900001525878906,37.09999847412109,651.27001953125,1367.8299560546875,61.900001525878906,84.80000305175781,1,-1,1,1,1,1,1.518305049963768,-1.878285195479151,1
2021-02-18 23:23:00,52.900001525878906,37.09999847412109,651.97998046875,1369.8199462890625,61.900001525878906,84.9000015258789,1,-1,1,1,1,1,1.5072592989602671,-1.880377740802363,1
2021-02-18 23:33:00,52.900001525878906,38.0,651.97998046875,1369.8199462890625,61.900001525878906,84.9000015258789,1,1,1,1,1,1,1.505791791793496,-1.8786498621041132,1
2021-02-18 23:43:00,52.900001525878906,38.0,651.97998046875,1369.8199462890625,61.900001525878906,84.9000015258789,1,1,1,1,1,1,1.505791791793496,-1.8786498621041132,1
2021-02-18 23:53:00,52.900001525878906,38.0,654.260009765625,1369.3900146484375,62.0,84.80000305175781,1,1,1,1,1,1,1.521202863559146,-1.8710340308248044,1
2021-02-19 00:03:00,52.900001525878906,38.0,651.4099731445312,1358.1500244140625,62.0,84.80000305175781,1,1,1,1,1,1,1.550414867724993,-1.8540717951251855,1
2021-02-19 00:13:00,52.900001525878906,37.900001525878906,651.4099731445312,1358.1500244140625,62.0,84.80000305175781,1,1,1,1,1,1,1.5505779213123694,-1.854263778392239,1
